usertype,start_station_name,end_station_name,route,num_of_trips,duration
Subscriber,Clark St & Henry St,Hicks St & Montague St,Clark St & Henry St to Hicks St & Montague St,6444,5.03
Subscriber,E 24 St & Park Ave S,W 31 St & 7 Ave,E 24 St & Park Ave S to W 31 St & 7 Ave,6444,7.42
Subscriber,46 Ave & 5 St,Vernon Blvd & 50 Ave,46 Ave & 5 St to Vernon Blvd & 50 Ave,6431,4.08
Subscriber,Pershing Square North,W 31 St & 7 Ave,Pershing Square North to W 31 St & 7 Ave,6407,9.16
Subscriber,Carmine St & 6 Ave,Mercer St & Bleecker St,Carmine St & 6 Ave to Mercer St & Bleecker St,6399,4.58
Subscriber,1 Ave & E 30 St,W 33 St & 7 Ave,1 Ave & E 30 St to W 33 St & 7 Ave,6367,10.06
Subscriber,W 20 St & 11 Ave,W 20 St & 7 Ave,W 20 St & 11 Ave to W 20 St & 7 Ave,6366,6.27
Subscriber,E 6 St & Avenue B,Lafayette St & E 8 St,E 6 St & Avenue B to Lafayette St & E 8 St,6357,7.02
Subscriber,9 Ave & W 22 St,Greenwich Ave & 8 Ave,9 Ave & W 22 St to Greenwich Ave & 8 Ave,6353,6.03
Subscriber,Broadway & W 60 St,W 59 St & 10 Ave,Broadway & W 60 St to W 59 St & 10 Ave,6350,5.02
Subscriber,E 17 St & Broadway,W 21 St & 6 Ave,E 17 St & Broadway to W 21 St & 6 Ave,6338,6.09
Subscriber,W 31 St & 7 Ave,Pershing Square North,W 31 St & 7 Ave to Pershing Square North,6324,9.63
Subscriber,W 20 St & 11 Ave,West St & Chambers St,W 20 St & 11 Ave to West St & Chambers St,6287,15.94
Subscriber,W 22 St & 8 Ave,W 21 St & 6 Ave,W 22 St & 8 Ave to W 21 St & 6 Ave,6278,5.43
Subscriber,W 20 St & 8 Ave,W 21 St & 6 Ave,W 20 St & 8 Ave to W 21 St & 6 Ave,6251,4.57
Subscriber,W 24 St & 7 Ave,W 15 St & 7 Ave,W 24 St & 7 Ave to W 15 St & 7 Ave,6250,4.61
Subscriber,W 54 St & 9 Ave,9 Ave & W 45 St,W 54 St & 9 Ave to 9 Ave & W 45 St,6250,4.92
Subscriber,Washington Square E,University Pl & E 14 St,Washington Square E to University Pl & E 14 St,6248,3.86
Subscriber,E 32 St & Park Ave,W 31 St & 7 Ave,E 32 St & Park Ave to W 31 St & 7 Ave,6235,5.79
Subscriber,South End Ave & Liberty St,West St & Chambers St,South End Ave & Liberty St to West St & Chambers St,6212,8.63
Subscriber,Cleveland Pl & Spring St,Great Jones St,Cleveland Pl & Spring St to Great Jones St,6201,4.61
